Date,Open,High,Low,Close,Adj Close,Volume
2014-03-31,47.625,49.974998,47.625,49.875,48.528973,972996
2014-04-01,50.125,50.724998,47.900002,48.25,46.947826,228716
2014-04-02,48.849998,50.224998,48.625,50,48.650597,571526
2014-04-03,50.424999,50.424999,48.625,49.049999,47.726238,385384
2014-04-04,48.599998,49.275002,46.875,48.900002,47.580288,304042
2014-04-07,49.5,50,48.25,49.025002,47.701912,176292
2014-04-09,49.950001,50.325001,48.75,49.900002,48.553299,154230
2014-04-10,50.5,50.5,48.75,49.575001,48.237072,164946
2014-04-11,49.049999,49.825001,48.775002,49.224998,47.896511,386516
2014-04-15,49.25,50.075001,49,49.174999,47.847866,198274
2014-04-16,49.625,49.799999,48.625,48.875,47.555962,609332
2014-04-17,49.424999,49.849998,48.650002,48.775002,47.45866,151692
2014-04-21,49.150002,49.625,48.724998,48.875,47.555962,1175446
2014-04-22,49.700001,49.700001,48.650002,49.224998,47.896511,711248
2014-04-23,49.599998,49.974998,48.775002,49.049999,47.726238,349384
2014-04-24,49.049999,49.049999,49.049999,49.049999,47.726238,0
2014-04-25,49.525002,50.125,49.025002,49.349998,48.018143,651724
2014-04-28,49.5,49.75,48.599998,49,47.677589,857024
2014-04-29,48.825001,49.5,48.650002,49.025002,47.701912,981088
2014-04-30,49.450001,50.174999,49,49.299999,47.969486,1459848
2014-05-02,49.700001,50.224998,49.424999,49.525002,48.188423,818720
2014-05-05,49.75,50.450001,49.075001,49.674999,48.334373,2008710
2014-05-06,49.700001,49.875,49.150002,49.375,48.042465,764532
2014-05-07,49.474998,49.849998,49,49.299999,47.969486,360998
2014-05-08,49.200001,49.525002,49.099998,49.224998,47.896511,705418
2014-05-09,49.200001,49.349998,48.375,48.5,47.191082,763572
2014-05-12,49.25,49.75,49.125,49.325001,47.993816,1688458
2014-05-13,50,51.25,49.5,51.125,49.745239,576108
2014-05-14,50,53.349998,50,53.174999,51.739914,1298288
2014-05-15,53.525002,55.125,53.5,54.799999,53.321056,1459868
2014-05-16,55.5,56.049999,52.75,54.674999,53.199429,900520
2014-05-19,55,55.75,54.025002,54.549999,53.077801,740052
2014-05-20,54.75,55.299999,54.25,55.075001,53.588638,476538
2014-05-21,55.150002,55.599998,54,55.474998,53.977837,658940
2014-05-22,56,57.299999,55.5,56.974998,55.437355,956368
2014-05-23,59.950001,60.450001,58.75,59.974998,58.356392,897672
